,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,participant_timestamp,sequence_number,sip_timestamp
0,322,0.01,210,301,0.0,0,0,1898670170,1685733896889998080
1,307,0.01,194,315,0.0,0,0,1834834935,1685733023367241216
2,308,0.01,241,309,0.0,0,0,1504171999,1685728434596101120
3,301,0.01,30,315,0.0,0,0,1294099489,1685725746127693056
4,308,0.01,156,309,0.0,0,0,1198402957,1685724498509595136
5,322,0.01,792,301,0.0,0,0,1057520817,1685722721228856576
6,307,0.01,120,323,0.0,0,0,719058306,1685718748169472256
7,307,0.01,104,315,0.0,0,0,684867045,1685718386724149760
8,307,0.01,184,307,0.0,0,0,684834895,1685718386693006336
9,307,0.01,213,313,0.0,0,0,676631161,1685718292789404672
10,307,0.01,233,316,0.0,0,0,676544527,1685718292683773952
11,307,0.01,173,315,0.0,0,0,557642214,1685717005447138048
12,307,0.01,243,319,0.0,0,0,555663874,1685716986694962688
13,313,0.01,107,301,0.0,0,0,480583758,1685716200567183104
14,307,0.01,159,315,0.0,0,0,480445507,1685716200262622976
15,325,0.01,204,322,0.0,0,0,448393718,1685715886312253440
16,325,0.01,79,309,0.0,0,0,395482224,1685715393236020992
17,325,0.01,79,301,0.0,0,0,390453956,1685715345025250560
18,307,0.01,158,315,0.0,0,0,363717287,1685715096018294784
19,325,0.01,75,319,0.0,0,0,304840224,1685714594217280512
20,325,0.01,154,316,0.0,0,0,304799370,1685714594098493952
21,308,0.01,243,323,0.0,0,0,302899227,1685714576495982848
22,313,0.01,117,323,0.0,0,0,291985741,1685714495878559232
23,325,0.01,119,323,0.0,0,0,218388023,1685713980538460416
24,313,0.01,117,323,0.0,0,0,207385419,1685713906414617856
25,313,0.01,117,309,0.0,0,0,206108692,1685713897984866560
26,307,0.01,103,309,0.0,0,0,167902476,1685713650968356608
27,303,0.01,79,323,0.0,0,0,164246832,1685713631357999872
28,307,0.01,51,323,0.0,0,0,161361849,1685713620582715648
29,325,0.01,79,309,0.0,0,0,148007969,1685713534837505280
30,308,0.01,155,316,0.0,0,0,128373674,1685713412097071360
31,323,0.01,5,309,0.0,0,0,7759891,1685712645912190464
32,323,0.01,5,309,0.0,0,0,5111959,1685712626882354432
33,319,0.01,20,319,0.0,0,0,494986,1685712600126724352
34,325,0.01,149,313,0.0,0,0,2166199780,1685649358331688960
35,322,0.01,496,313,0.0,0,0,2149982446,1685649221818351360
36,308,0.01,33,309,0.0,0,0,2127002019,1685649008251676416
37,325,0.01,139,309,0.0,0,0,2068354180,1685648390129791488
38,307,0.01,155,315,0.0,0,0,2054352158,1685648257060539392
39,307,0.01,220,315,0.0,0,0,2041860217,1685648136096979968
40,313,0.01,71,319,0.0,0,0,1822406948,1685645627609419776
41,313,0.01,71,304,0.0,0,0,1821472915,1685645623068673280
42,313,0.01,105,309,0.0,0,0,1400501395,1685640271502949888
43,325,0.01,80,316,0.0,0,0,1054642785,1685635831546232320
44,303,0.01,86,307,0.0,0,0,462648381,1685629707507089920
45,307,0.01,137,315,0.0,0,0,313538671,1685628414680429824
46,313,0.01,62,309,0.0,0,0,231224472,1685627782847987200
47,307,0.01,119,323,0.0,0,0,179628224,1685627412032996608
48,323,0.01,22,309,0.0,0,0,2619424,1685626210310545920
49,323,0.01,22,319,0.0,0,0,492039,1685626200245078784
50,323,0.01,5,323,0.0,0,0,479332,1685626200088275456
51,316,0.01,43,309,0.0,0,0,2192031469,1685562956001893120
52,325,0.01,38,302,0.0,0,0,2191727408,1685562954068932352
53,313,0.01,50,301,0.0,0,0,2180193003,1685562880862327296
54,325,0.01,57,301,0.0,0,0,2169951002,1685562807817526528
55,325,0.01,18,316,0.0,0,0,2168692129,1685562800169885440
56,325,0.01,57,323,0.0,0,0,2161727457,1685562750283878912
57,316,0.01,36,309,0.0,0,0,2160110171,1685562738940117760
58,316,0.01,46,323,0.0,0,0,2159890572,1685562738331055104
59,313,0.01,94,319,0.0,0,0,2117193858,1685562413019614976
60,308,0.01,105,309,0.0,0,0,2107020891,1685562317101414400
61,308,0.01,51,323,0.0,0,0,1883205529,1685559614453111040
62,313,0.01,94,319,0.0,0,0,1834059474,1685559047426387968
63,303,0.01,98,301,0.0,0,0,1683197270,1685557082997340928
64,313,0.01,107,309,0.0,0,0,1565227919,1685555585451133184
65,313,0.01,94,301,0.0,0,0,1529607032,1685555154808161536
66,303,0.01,112,319,0.0,0,0,1509186545,1685554917751584512
67,313,0.01,107,307,0.0,0,0,1500096822,1685554825398828544
68,313,0.01,141,301,0.0,0,0,1494099272,1685554776048413696
69,313,0.01,107,316,0.0,0,0,1480010410,1685554634939113984
70,308,0.01,140,307,0.0,0,0,1474138606,1685554591782591488
71,313,0.01,60,323,0.0,0,0,840765223,1685547095607803904
72,323,0.01,31,323,0.0,0,0,730915587,1685545823073349120
73,308,0.01,66,301,0.0,0,0,662800355,1685545101512834560
74,325,0.01,60,309,0.0,0,0,632291206,1685544796824292096
75,313,0.01,53,323,0.0,0,0,608962078,1685544564122165504
76,313,0.01,53,323,0.0,0,0,592638044,1685544403892437760
77,325,0.01,60,309,0.0,0,0,546703586,1685543961367215616
78,313,0.01,53,323,0.0,0,0,535857775,1685543866283300096
79,307,0.01,12,323,0.0,0,0,377707527,1685542595218762496
80,301,0.01,30,302,0.0,0,0,377701550,1685542595201591552
81,323,0.01,36,300,0.0,0,0,328726046,1685542119613911296
82,307,0.01,12,323,0.0,0,0,327897182,1685542111390590464
83,322,0.01,32,319,0.0,0,0,325824829,1685542091673880576
84,313,0.01,60,308,0.0,0,0,291460686,1685541797402281472
85,319,0.01,60,319,0.0,0,0,291448265,1685541797311034880
86,313,0.01,60,309,0.0,0,0,287707925,1685541768426923008
87,325,0.01,108,301,0.0,0,0,212300825,1685541186217422848
88,313,0.01,111,309,0.0,0,0,201919324,1685541115677020672
89,325,0.01,68,301,0.0,0,0,172754231,1685540903720310016
90,313,0.01,60,309,0.0,0,0,160433800,1685540830412835584
91,325,0.01,105,316,0.0,0,0,160398049,1685540830382720000
92,313,0.01,60,304,0.0,0,0,156126412,1685540810038855168
93,325,0.01,86,309,0.0,0,0,154754622,1685540800086185216
94,325,0.01,94,301,0.0,0,0,149120777,1685540761490331648
95,313,0.01,60,315,0.0,0,0,84051072,1685540337135060992
96,323,0.01,5,323,0.0,0,0,43157785,1685540069679205632
97,315,0.01,60,309,0.0,0,0,39219039,1685540046797073920
98,323,0.01,5,309,0.0,0,0,29327562,1685539967904336896
99,319,0.01,40,304,0.0,0,0,27849326,1685539958221424128
100,307,0.01,13,323,0.0,0,0,27300308,1685539954774970880
101,307,0.01,4,307,0.0,0,0,468422,1685539800130710784
102,307,0.01,21,323,0.0,0,0,2341065809,1685476738179978752
103,322,0.01,16,323,0.0,0,0,2329837806,1685476620107659008
104,313,0.01,34,313,0.0,0,0,2329797382,1685476620061269248
105,307,0.01,21,301,0.0,0,0,2325611151,1685476577246444544
106,322,0.01,10,323,0.0,0,0,2323668940,1685476560070962688
107,313,0.01,34,304,0.0,0,0,2323648959,1685476560035483392
108,325,0.01,46,325,0.0,0,0,2323635203,1685476560020648192
109,322,0.01,29,309,0.0,0,0,2316216915,1685476496337679872
110,325,0.01,66,313,0.0,0,0,2316209917,1685476496329476864
111,319,0.01,60,301,0.0,0,0,2315019367,1685476490186602240
112,307,0.01,30,315,0.0,0,0,2313226293,1685476480086541824
113,307,0.01,51,307,0.0,0,0,2313198649,1685476480058239488
114,313,0.01,60,301,0.0,0,0,2209216954,1685475348921232384
115,303,0.01,101,301,0.0,0,0,2069611121,1685473610880266496
116,319,0.01,60,315,0.0,0,0,2047386972,1685473373616919040
117,325,0.01,60,309,0.0,0,0,2032118353,1685473206496619520
118,313,0.01,111,319,0.0,0,0,1991536299,1685472739106305280
119,313,0.01,111,301,0.0,0,0,1972441775,1685472541935079424
120,325,0.01,68,309,0.0,0,0,1921710175,1685471965830711552
121,325,0.01,60,315,0.0,0,0,1921348657,1685471961940340480
122,313,0.01,111,308,0.0,0,0,1921331629,1685471961902760960
123,313,0.01,60,309,0.0,0,0,1905248443,1685471760139908864
