,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,participant_timestamp,sequence_number,sip_timestamp
0,325,0.01,291,313,0,0,0,758216569,1685735993306084608
1,325,0.01,319,319,0,0,0,757001597,1685735948532654336
2,325,0.01,319,315,0,0,0,755811094,1685735904089018624
3,325,0.01,291,302,0,0,0,755745070,1685735903770170880
4,325,0.01,319,313,0,0,0,754724161,1685735850813862144
5,322,0.01,304,313,0,0,0,754644809,1685735847795761408
6,325,0.01,291,313,0,0,0,754186122,1685735810830971648
7,325,0.01,291,301,0,0,0,752366990,1685735717488676608
8,325,0.01,291,301,0,0,0,752003421,1685735703490983680
9,322,0.01,318,301,0,0,0,751812904,1685735698159005696
10,325,0.01,291,313,0,0,0,751474660,1685735690152251136
11,325,0.01,347,301,0,0,0,751054796,1685735677994289664
12,325,0.01,347,304,0,0,0,750906879,1685735675035405824
13,325,0.01,347,300,0,0,0,750047449,1685735652870419968
14,325,0.01,347,313,0,0,0,749527217,1685735640273553408
15,325,0.01,347,308,0,0,0,749154971,1685735627654932992
16,322,0.01,306,301,0,0,0,748154442,1685735596555720960
17,325,0.01,291,301,0,0,0,747544051,1685735578014428928
18,325,0.01,347,300,0,0,0,746381454,1685735547571297024
19,325,0.01,347,300,0,0,0,745156762,1685735519796817152
20,325,0.01,291,309,0,0,0,744436037,1685735503329197056
21,322,0.01,332,313,0,0,0,743645881,1685735469480365568
22,325,0.01,347,313,0,0,0,743434753,1685735464480953856
23,325,0.01,347,313,0,0,0,742386214,1685735434950865408
24,325,0.01,347,313,0,0,0,742117765,1685735429737007104
25,325,0.01,347,309,0,0,0,742036536,1685735429276289792
26,325,0.01,347,309,0,0,0,740927874,1685735398404570112
27,325,0.01,291,313,0,0,0,738599676,1685735271070071552
28,325,0.01,347,316,0,0,0,738168828,1685735252959192064
29,322,0.01,348,313,0,0,0,736404670,1685735167989450752
30,322,0.01,310,301,0,0,0,736136072,1685735143921842432
31,325,0.01,291,313,0,0,0,735418830,1685735103775218688
32,325,0.01,347,312,0,0,0,734367174,1685735044861374720
33,325,0.01,291,301,0,0,0,733507115,1685735005655680768
34,325,0.01,291,301,0,0,0,732013141,1685734930705201408
35,325,0.01,291,301,0,0,0,731667803,1685734910167052032
36,322,0.01,348,313,0,0,0,731260468,1685734886795219712
37,322,0.01,348,313,0,0,0,729655518,1685734806188108800
38,325,0.01,291,313,0,0,0,725716129,1685734541400642560
39,325,0.01,347,313,0,0,0,718210651,1685734152833611008
40,322,0.01,322,313,0,0,0,717082349,1685734084858223360
41,325,0.01,291,313,0,0,0,715906555,1685734034641086208
42,325,0.01,291,301,0,0,0,715042870,1685733974599491584
43,325,0.01,291,301,0,0,0,714162852,1685733938455941888
44,325,0.01,347,301,0,0,0,713374967,1685733911501955328
45,325,0.01,347,300,0,0,0,712599339,1685733886445818112
46,325,0.01,291,300,0,0,0,711128251,1685733828501590272
47,325,0.01,291,313,0,0,0,709781236,1685733772327444480
48,325,0.01,291,313,0,0,0,709674677,1685733771363790336
49,325,0.01,347,316,0,0,0,708729163,1685733727299494400
50,322,0.01,348,300,0,0,0,705359940,1685733554653349888
51,325,0.01,347,309,0,0,0,703665678,1685733440320196608
52,325,0.01,347,300,0,0,0,702592896,1685733393030647808
53,325,0.01,291,315,0,0,0,702575891,1685733392903860736
54,325,0.01,347,313,0,0,0,702016636,1685733373470925824
55,325,0.01,291,316,0,0,0,699465758,1685733271357240832
56,325,0.01,291,301,0,0,0,697908253,1685733187038863104
57,325,0.01,347,300,0,0,0,697548142,1685733166257097216
58,325,0.01,291,301,0,0,0,697524633,1685733166134946048
59,325,0.01,347,313,0,0,0,697431433,1685733163794566400
60,325,0.01,291,313,0,0,0,694217050,1685733031012449024
61,325,0.01,291,313,0,0,0,693825583,1685733023191951872
62,325,0.01,291,301,0,0,0,692550370,1685732984310845952
63,322,0.01,348,313,0,0,0,690958435,1685732916484508928
64,325,0.01,347,300,0,0,0,690726964,1685732907558330880
65,325,0.01,347,303,0,0,0,690396197,1685732896652903680
66,325,0.01,291,316,0,0,0,688509912,1685732790634316288
67,322,0.01,305,313,0,0,0,687550877,1685732746669430272
68,325,0.01,347,316,0,0,0,686993355,1685732726056336128
69,325,0.01,291,313,0,0,0,686931534,1685732725749460224
70,325,0.01,291,301,0,0,0,686253815,1685732705485366016
71,325,0.01,347,313,0,0,0,685934286,1685732686607289344
72,325,0.01,347,303,0,0,0,685400918,1685732663241506048
73,325,0.01,291,301,0,0,0,684650667,1685732620469913344
74,325,0.01,347,316,0,0,0,683426629,1685732540607466240
75,325,0.01,291,319,0,0,0,682456857,1685732497129319168
76,325,0.01,291,316,0,0,0,681457267,1685732447820923136
77,322,0.01,494,325,0,0,0,680217820,1685732382203154944
78,322,0.01,348,313,0,0,0,679415756,1685732345164468224
79,325,0.01,291,313,0,0,0,677960785,1685732251039301120
80,325,0.01,291,313,0,0,0,677021420,1685732220027569408
81,325,0.01,291,316,0,0,0,676580742,1685732184011060224
82,325,0.01,347,300,0,0,0,676182285,1685732171867726592
83,322,0.01,348,313,0,0,0,671731741,1685731870559087104
84,325,0.01,291,313,0,0,0,671163573,1685731842104548608
85,325,0.01,347,309,0,0,0,670255873,1685731800181696512
86,322,0.01,348,307,0,0,0,670078485,1685731785203916032
87,325,0.01,291,313,0,0,0,669746879,1685731761539031040
88,325,0.01,291,313,0,0,0,668519961,1685731677351905024
89,325,0.01,291,313,0,0,0,667863002,1685731640757611008
90,325,0.01,347,300,0,0,0,662463246,1685731290429139712
91,325,0.01,291,301,0,0,0,662429220,1685731290199367680
92,325,0.01,291,301,0,0,0,661979276,1685731269765000704
93,325,0.01,347,313,0,0,0,657926693,1685731023984279296
94,325,0.01,347,301,0,0,0,656873162,1685730950756448256
95,325,0.01,347,313,0,0,0,655031004,1685730863084754944
96,325,0.01,291,313,0,0,0,653789646,1685730826988205312
97,325,0.01,347,313,0,0,0,653650136,1685730824218942720
98,325,0.01,291,301,0,0,0,650985732,1685730700969863936
99,325,0.01,347,300,0,0,0,650701595,1685730683277769472
100,325,0.01,347,313,0,0,0,647339189,1685730486260786688
101,325,0.01,291,313,0,0,0,646298363,1685730426787815168
102,325,0.01,347,308,0,0,0,645359973,1685730357318576640
103,325,0.01,291,313,0,0,0,645147492,1685730351533950464
104,325,0.01,347,313,0,0,0,643244691,1685730278625326336
105,322,0.01,354,325,0,0,0,641942162,1685730240298322176
106,325,0.01,291,301,0,0,0,641768072,1685730235774427392
107,325,0.01,347,313,0,0,0,639428597,1685730156243113472
108,325,0.01,347,322,0,0,0,638961002,1685730137612022272
109,325,0.01,291,313,0,0,0,636594644,1685730049576870144
110,325,0.01,347,308,0,0,0,633031689,1685729898476577024
111,325,0.01,291,308,0,0,0,632585176,1685729876145545472
112,325,0.01,347,300,0,0,0,632130769,1685729859059909376
113,325,0.01,347,313,0,0,0,628573392,1685729710767233280
114,325,0.01,347,313,0,0,0,628209994,1685729704201897984
115,325,0.01,291,303,0,0,0,627548177,1685729692912772608
116,325,0.01,291,304,0,0,0,627299043,1685729691810704640
117,325,0.01,347,309,0,0,0,625886181,1685729648097774336
118,325,0.01,347,313,0,0,0,624011521,1685729571455054336
119,325,0.01,291,308,0,0,0,623655541,1685729561515987200
120,325,0.01,347,309,0,0,0,623576516,1685729558955042560
121,325,0.01,291,301,0,0,0,622391534,1685729508007771904
122,325,0.01,347,313,0,0,0,622318183,1685729506253781248
