,additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
0,,OCASPS,call,,american,2023-06-09,BATO,100,50.0,O:AAPL230609C00050000,AAPL
1,,OCASPS,call,,american,2023-06-09,BATO,100,60.0,O:AAPL230609C00060000,AAPL
2,,OCASPS,call,,american,2023-06-09,BATO,100,65.0,O:AAPL230609C00065000,AAPL
3,,OCASPS,call,,american,2023-06-09,BATO,100,70.0,O:AAPL230609C00070000,AAPL
4,,OCASPS,call,,american,2023-06-09,BATO,100,75.0,O:AAPL230609C00075000,AAPL
5,,OCASPS,call,,american,2023-06-09,BATO,100,80.0,O:AAPL230609C00080000,AAPL
6,,OCASPS,call,,american,2023-06-09,BATO,100,85.0,O:AAPL230609C00085000,AAPL
7,,OCASPS,call,,american,2023-06-09,BATO,100,90.0,O:AAPL230609C00090000,AAPL
8,,OCASPS,call,,american,2023-06-09,BATO,100,95.0,O:AAPL230609C00095000,AAPL
9,,OCASPS,call,,american,2023-06-09,BATO,100,100.0,O:AAPL230609C00100000,AAPL
10,,OCASPS,call,,american,2023-06-09,BATO,100,105.0,O:AAPL230609C00105000,AAPL
11,,OCASPS,call,,american,2023-06-09,BATO,100,110.0,O:AAPL230609C00110000,AAPL
12,,OCASPS,call,,american,2023-06-09,BATO,100,115.0,O:AAPL230609C00115000,AAPL
13,,OCASPS,call,,american,2023-06-09,BATO,100,120.0,O:AAPL230609C00120000,AAPL
14,,OCASPS,call,,american,2023-06-09,BATO,100,125.0,O:AAPL230609C00125000,AAPL
15,,OCASPS,call,,american,2023-06-09,BATO,100,130.0,O:AAPL230609C00130000,AAPL
16,,OCASPS,call,,american,2023-06-09,BATO,100,135.0,O:AAPL230609C00135000,AAPL
17,,OCASPS,call,,american,2023-06-09,BATO,100,140.0,O:AAPL230609C00140000,AAPL
18,,OCASPS,call,,american,2023-06-09,BATO,100,145.0,O:AAPL230609C00145000,AAPL
19,,OCASPS,call,,american,2023-06-09,BATO,100,147.0,O:AAPL230609C00147000,AAPL
20,,OCASPS,call,,american,2023-06-09,BATO,100,148.0,O:AAPL230609C00148000,AAPL
21,,OCASPS,call,,american,2023-06-09,BATO,100,149.0,O:AAPL230609C00149000,AAPL
22,,OCASPS,call,,american,2023-06-09,BATO,100,150.0,O:AAPL230609C00150000,AAPL
23,,OCASPS,call,,american,2023-06-09,BATO,100,152.5,O:AAPL230609C00152500,AAPL
24,,OCASPS,call,,american,2023-06-09,BATO,100,155.0,O:AAPL230609C00155000,AAPL
25,,OCASPS,call,,american,2023-06-09,BATO,100,157.5,O:AAPL230609C00157500,AAPL
26,,OCASPS,call,,american,2023-06-09,BATO,100,160.0,O:AAPL230609C00160000,AAPL
27,,OCASPS,call,,american,2023-06-09,BATO,100,162.5,O:AAPL230609C00162500,AAPL
28,,OCASPS,call,,american,2023-06-09,BATO,100,165.0,O:AAPL230609C00165000,AAPL
29,,OCASPS,call,,american,2023-06-09,BATO,100,167.5,O:AAPL230609C00167500,AAPL
30,,OCASPS,call,,american,2023-06-09,BATO,100,170.0,O:AAPL230609C00170000,AAPL
31,,OCASPS,call,,american,2023-06-09,BATO,100,172.5,O:AAPL230609C00172500,AAPL
32,,OCASPS,call,,american,2023-06-09,BATO,100,175.0,O:AAPL230609C00175000,AAPL
33,,OCASPS,call,,american,2023-06-09,BATO,100,177.5,O:AAPL230609C00177500,AAPL
34,,OCASPS,call,,american,2023-06-09,BATO,100,180.0,O:AAPL230609C00180000,AAPL
35,,OCASPS,call,,american,2023-06-09,BATO,100,182.5,O:AAPL230609C00182500,AAPL
36,,OCASPS,call,,american,2023-06-09,BATO,100,185.0,O:AAPL230609C00185000,AAPL
37,,OCASPS,call,,american,2023-06-09,BATO,100,187.5,O:AAPL230609C00187500,AAPL
38,,OCASPS,call,,american,2023-06-09,BATO,100,190.0,O:AAPL230609C00190000,AAPL
39,,OCASPS,call,,american,2023-06-09,BATO,100,192.5,O:AAPL230609C00192500,AAPL
40,,OCASPS,call,,american,2023-06-09,BATO,100,195.0,O:AAPL230609C00195000,AAPL
41,,OCASPS,call,,american,2023-06-09,BATO,100,197.5,O:AAPL230609C00197500,AAPL
42,,OCASPS,call,,american,2023-06-09,BATO,100,200.0,O:AAPL230609C00200000,AAPL
43,,OCASPS,call,,american,2023-06-09,BATO,100,202.5,O:AAPL230609C00202500,AAPL
44,,OCASPS,call,,american,2023-06-09,BATO,100,205.0,O:AAPL230609C00205000,AAPL
45,,OCASPS,call,,american,2023-06-09,BATO,100,207.5,O:AAPL230609C00207500,AAPL
46,,OCASPS,call,,american,2023-06-09,BATO,100,210.0,O:AAPL230609C00210000,AAPL
47,,OCASPS,call,,american,2023-06-09,BATO,100,215.0,O:AAPL230609C00215000,AAPL
48,,OCASPS,call,,american,2023-06-09,BATO,100,220.0,O:AAPL230609C00220000,AAPL
49,,OCASPS,call,,american,2023-06-09,BATO,100,225.0,O:AAPL230609C00225000,AAPL
50,,OCASPS,call,,american,2023-06-09,BATO,100,230.0,O:AAPL230609C00230000,AAPL
51,,OCASPS,call,,american,2023-06-09,BATO,100,235.0,O:AAPL230609C00235000,AAPL
52,,OCASPS,call,,american,2023-06-09,BATO,100,240.0,O:AAPL230609C00240000,AAPL
53,,OCASPS,call,,american,2023-06-09,BATO,100,245.0,O:AAPL230609C00245000,AAPL
54,,OCASPS,call,,american,2023-06-09,BATO,100,250.0,O:AAPL230609C00250000,AAPL
55,,OPASPS,put,,american,2023-06-09,BATO,100,50.0,O:AAPL230609P00050000,AAPL
56,,OPASPS,put,,american,2023-06-09,BATO,100,60.0,O:AAPL230609P00060000,AAPL
57,,OPASPS,put,,american,2023-06-09,BATO,100,65.0,O:AAPL230609P00065000,AAPL
58,,OPASPS,put,,american,2023-06-09,BATO,100,70.0,O:AAPL230609P00070000,AAPL
59,,OPASPS,put,,american,2023-06-09,BATO,100,75.0,O:AAPL230609P00075000,AAPL
60,,OPASPS,put,,american,2023-06-09,BATO,100,80.0,O:AAPL230609P00080000,AAPL
61,,OPASPS,put,,american,2023-06-09,BATO,100,85.0,O:AAPL230609P00085000,AAPL
62,,OPASPS,put,,american,2023-06-09,BATO,100,90.0,O:AAPL230609P00090000,AAPL
63,,OPASPS,put,,american,2023-06-09,BATO,100,95.0,O:AAPL230609P00095000,AAPL
64,,OPASPS,put,,american,2023-06-09,BATO,100,100.0,O:AAPL230609P00100000,AAPL
65,,OPASPS,put,,american,2023-06-09,BATO,100,105.0,O:AAPL230609P00105000,AAPL
66,,OPASPS,put,,american,2023-06-09,BATO,100,110.0,O:AAPL230609P00110000,AAPL
67,,OPASPS,put,,american,2023-06-09,BATO,100,115.0,O:AAPL230609P00115000,AAPL
68,,OPASPS,put,,american,2023-06-09,BATO,100,120.0,O:AAPL230609P00120000,AAPL
69,,OPASPS,put,,american,2023-06-09,BATO,100,125.0,O:AAPL230609P00125000,AAPL
70,,OPASPS,put,,american,2023-06-09,BATO,100,130.0,O:AAPL230609P00130000,AAPL
71,,OPASPS,put,,american,2023-06-09,BATO,100,135.0,O:AAPL230609P00135000,AAPL
72,,OPASPS,put,,american,2023-06-09,BATO,100,140.0,O:AAPL230609P00140000,AAPL
73,,OPASPS,put,,american,2023-06-09,BATO,100,145.0,O:AAPL230609P00145000,AAPL
74,,OPASPS,put,,american,2023-06-09,BATO,100,147.0,O:AAPL230609P00147000,AAPL
75,,OPASPS,put,,american,2023-06-09,BATO,100,148.0,O:AAPL230609P00148000,AAPL
